Age,gender,occupation,education,lifestyle,favorite,zone,activity,month,place
26,female,student,bachelor,family,movie,Bang Phlat,stand up comedy,1,Royal Paragon Hall
34,female,employee,graduate,family,travel,Wang Thonglang,stand up comedy,1,Royal Paragon Hall
50,female,employee,bachelor,family,family,Suan Luang,stand up comedy,1,Royal Paragon Hall
35,female,business,bachelor,family,concert,Chom Thong,stand up comedy,1,Royal Paragon Hall
61,female,business,bachelor,family,other,Watthana,stand up comedy,1,Royal Paragon Hall
48,male,other,diploma,family,family,Ratchathewi,stand up comedy,1,Royal Paragon Hall
46,female,business,primary,family,travel,Ratchathewi,stand up comedy,1,Royal Paragon Hall
53,female,business,bachelor,family,travel,Bang Khae,stand up comedy,1,Royal Paragon Hall
45,female,business,diploma,family,travel,Ratchathewi,stand up comedy,1,Royal Paragon Hall
42,female,employee,bachelor,family,concert,Bangkok Noi,stand up comedy,1,Royal Paragon Hall
21,female,student,secondary,family,travel,Chatuchak,stand up comedy,1,Royal Paragon Hall
19,female,student,secondary,family,concert,Watthana,stand up comedy,1,Royal Paragon Hall
49,male,business,bachelor,family,concert,Bang Kapi,stand up comedy,1,Royal Paragon Hall
19,male,business,secondary,family,travel,Bang Bon,stand up comedy,1,Royal Paragon Hall
55,female,official,bachelor,family,family,Rat Burana,stand up comedy,1,Royal Paragon Hall
23,male,student,bachelor,family,family,Chom Thong,stand up comedy,1,Royal Paragon Hall
62,male,business,other,family,movie,Chatuchak,stand up comedy,1,Royal Paragon Hall
41,female,business,bachelor,family,concert,Khlong Sam Wa,stand up comedy,1,Royal Paragon Hall
42,male,employee,bachelor,family,movie,Chatuchak,stand up comedy,1,Royal Paragon Hall
37,female,enterprise,bachelor,family,travel,Bueng Kum,stand up comedy,1,Royal Paragon Hall
60,female,business,bachelor,family,concert,Sai Mai,stand up comedy,1,Royal Paragon Hall
55,female,enterprise,bachelor,family,concert,Lak Si,stand up comedy,1,Royal Paragon Hall
59,male,business,secondary,family,travel,Phasi Charoen,stand up comedy,1,Royal Paragon Hall
59,male,other,graduate,family,travel,Bang Sue,stand up comedy,1,Royal Paragon Hall
35,female,employee,graduate,family,concert,Nong Khaem,stand up comedy,1,Royal Paragon Hall
45,female,freelance,secondary,family,family,Saphan Sung,stand up comedy,1,Royal Paragon Hall
35,male,business,bachelor,family,travel,Khlong San,stand up comedy,1,Royal Paragon Hall
34,female,employee,bachelor,family,concert,Chatuchak,stand up comedy,1,Royal Paragon Hall
45,female,business,bachelor,family,family,Prawet,stand up comedy,1,Royal Paragon Hall
52,female,other,bachelor,family,family,Yan Nawa,stand up comedy,1,Royal Paragon Hall
44,female,housewife,bachelor,family,travel,Lat Phrao,stand up comedy,1,Royal Paragon Hall
55,male,business,bachelor,family,travel,Bueng Kum,stand up comedy,1,Royal Paragon Hall
60,female,business,other,family,travel,Thawi Watthana,stand up comedy,1,Royal Paragon Hall
64,female,other,primary,family,movie,Rat Burana,stand up comedy,1,Royal Paragon Hall
67,male,other,bachelor,family,family,Lak Si,stand up comedy,1,Royal Paragon Hall
48,male,business,graduate,family,travel,Suan Luang,stand up comedy,1,Royal Paragon Hall
24,female,student,secondary,family,travel,Suan Luang,stand up comedy,1,Royal Paragon Hall
5,male,employee,diploma,family,sport,Sai Mai,stand up comedy,1,Royal Paragon Hall
46,male,business,graduate,family,travel,Min Buri,stand up comedy,1,Royal Paragon Hall
28,male,official,bachelor,family,travel,Pom Prap Sattru Phai,stand up comedy,1,Royal Paragon Hall
44,female,employee,bachelor,family,concert,Bang Rak,stand up comedy,1,Royal Paragon Hall
35,female,business,bachelor,family,concert,Bang Phlat,stand up comedy,1,Royal Paragon Hall
32,female,employee,diploma,family,movie,Suan Luang,stand up comedy,1,Royal Paragon Hall
57,male,employee,graduate,family,concert,Suan Luang,stand up comedy,1,Royal Paragon Hall
19,female,student,secondary,family,rally,Nong Chok,stand up comedy,1,Royal Paragon Hall
56,male,other,graduate,family,travel,Taling Chan,stand up comedy,1,Royal Paragon Hall
46,male,employee,bachelor,family,rally,Sai Mai,stand up comedy,1,Royal Paragon Hall
48,female,business,graduate,family,concert,Yan Nawa,stand up comedy,1,Royal Paragon Hall
32,male,business,graduate,family,movie,Bang Khen,stand up comedy,1,Royal Paragon Hall
31,female,employee,secondary,family,travel,Huai Khwang,stand up comedy,1,Royal Paragon Hall
52,male,business,bachelor,family,travel,Bueng Kum,stand up comedy,1,Royal Paragon Hall
36,female,business,bachelor,family,travel,Bang Khen,stand up comedy,1,Royal Paragon Hall
53,male,employee,graduate,family,travel,Rat Burana,stand up comedy,1,Royal Paragon Hall
35,female,employee,graduate,family,travel,Phasi Charoen,stand up comedy,1,Royal Paragon Hall
36,female,employee,bachelor,family,family,Phaya Thai,stand up comedy,1,Royal Paragon Hall
34,female,business,diploma,family,movie,Bang Khae,stand up comedy,1,Royal Paragon Hall
55,female,business,bachelor,family,travel,Samphanthawong,stand up comedy,1,Royal Paragon Hall
52,male,employee,graduate,family,travel,Bang Khen,stand up comedy,1,Royal Paragon Hall
30,female,freelance,graduate,family,movie,Bang Bon,stand up comedy,1,Royal Paragon Hall
44,female,business,bachelor,family,travel,Khlong Toei,stand up comedy,1,Royal Paragon Hall
59,male,other,other,family,family,Prawet,stand up comedy,1,Royal Paragon Hall
30,female,student,graduate,family,travel,Yan Nawa,stand up comedy,1,Royal Paragon Hall
52,female,business,bachelor,family,travel,Bang Khun Thian,stand up comedy,1,Royal Paragon Hall
46,male,employee,diploma,family,travel,Bang Kapi,stand up comedy,1,Royal Paragon Hall
52,female,other,bachelor,family,travel,Khlong Sam Wa,stand up comedy,1,Royal Paragon Hall
48,female,business,bachelor,family,travel,Nong Khaem,stand up comedy,1,Royal Paragon Hall
19,female,student,secondary,family,concert,Taling Chan,stand up comedy,1,Royal Paragon Hall
61,female,business,bachelor,family,family,Suan Luang,stand up comedy,1,Royal Paragon Hall
51,female,business,secondary,family,concert,Bang Bon,stand up comedy,1,Royal Paragon Hall
46,female,business,bachelor,family,travel,Phasi Charoen,stand up comedy,1,Royal Paragon Hall
42,female,business,secondary,family,movie,Phaya Thai,stand up comedy,1,Royal Paragon Hall
50,male,business,graduate,family,travel,Thon Buri,stand up comedy,1,Royal Paragon Hall
52,female,employee,bachelor,family,movie,Wang Thonglang,stand up comedy,1,Royal Paragon Hall
39,female,business,secondary,family,movie,Wang Thonglang,stand up comedy,1,Royal Paragon Hall
59,female,business,secondary,family,travel,Huai Khwang,stand up comedy,1,Royal Paragon Hall
45,female,business,bachelor,family,other,Phra Nakhon,stand up comedy,1,Royal Paragon Hall
39,male,employee,graduate,family,travel,Prawet,stand up comedy,1,Royal Paragon Hall
60,male,business,bachelor,family,concert,Lat Phrao,stand up comedy,1,Royal Paragon Hall
52,female,business,bachelor,family,concert,Yan Nawa,stand up comedy,1,Royal Paragon Hall
52,female,employee,diploma,family,travel,Chom Thong,stand up comedy,1,Royal Paragon Hall
24,male,student,bachelor,family,concert,Khlong Toei,stand up comedy,1,Royal Paragon Hall
28,male,unemployed,bachelor,family,travel,Suan Luang,stand up comedy,1,Royal Paragon Hall
51,female,employee,bachelor,family,travel,Lat Phrao,stand up comedy,1,Royal Paragon Hall
33,female,employee,bachelor,family,family,Thon Buri,stand up comedy,1,Royal Paragon Hall
#VALUE!,female,housewife,secondary,family,movie,Bang Phlat,stand up comedy,1,Royal Paragon Hall
53,male,official,graduate,family,rally,Wang Thonglang,stageplay,3,Rachadalai Theatre
56,female,business,secondary,family,travel,Bang Na,stageplay,2,Rachadalai Theatre
45,male,other,other,family,travel,Lat Krabang,stageplay,3,Rachadalai Theatre
47,female,employee,graduate,family,travel,Lak Si,stageplay,2,Rachadalai Theatre
39,female,employee,graduate,family,rally,Wang Thonglang,stageplay,3,Rachadalai Theatre
44,female,employee,bachelor,family,sport,Lat Krabang,stageplay,2,Rachadalai Theatre
38,female,business,bachelor,family,travel,Yan Nawa,stageplay,3,Rachadalai Theatre
67,male,other,bachelor,family,family,Lak Si,stageplay,2,Rachadalai Theatre
48,female,business,graduate,family,travel,Huai Khwang,stageplay,3,Rachadalai Theatre
70,female,employee,primary,family,travel,Lat Krabang,stageplay,2,Rachadalai Theatre
10,female,business,bachelor,family,movie,Nong Khaem,camping,10,Kanchanaburi
7,male,student,kindergarten,family,travel,Lat Phrao,camping,10,Kanchanaburi
11,male,student,primary,family,travel,Lat Phrao,camping,10,Kanchanaburi
12,female,business,bachelor,family,family,Bang Khen,camping,10,Kanchanaburi
12,female,other,kindergarten,family,family,Lak Si,camping,10,Kanchanaburi
10,male,student,primary,family,family,Chatuchak,camping,10,Kanchanaburi
9,male,student,kindergarten,family,concert,Khan Na Yao,camping,10,Kanchanaburi
8,male,student,other,family,travel,Dusit,camping,10,Kanchanaburi
11,male,student,primary,family,sport,Nong Chok,camping,10,Kanchanaburi
16,female,student,diploma,family,movie,Nong Khaem,camping,10,Kanchanaburi
10,male,other,other,family,travel,Bang Kapi,camping,10,Kanchanaburi
12,female,business,diploma,family,movie,Nong Khaem,camping,10,Kanchanaburi
12,female,student,other,family,family,Huai Khwang,camping,10,Kanchanaburi
11,female,business,bachelor,family,travel,Khlong Sam Wa,camping,10,Kanchanaburi
14,female,student,diploma,family,family,Nong Khaem,camping,10,Kanchanaburi
11,male,housewife,diploma,family,family,Bang Khen,camping,10,Kanchanaburi
8,female,employee,bachelor,family,travel,Sai Mai,camping,10,Kanchanaburi
60,male,business,bachelor,family,travel,Nong Khaem,movie,12,Office
48,female,employee,secondary,family,family,Samphanthawong,movie,12,Office
48,female,housewife,primary,family,concert,Thung Khru,movie,12,Office
34,female,freelance,secondary,family,family,Huai Khwang,movie,12,Office
49,female,official,secondary,family,travel,Bang Bon,movie,12,Office
31,male,business,graduate,family,family,Bang Kho Laem,movie,12,Office
57,male,business,bachelor,family,travel,Bang Khun Thian,movie,12,Office
43,male,business,diploma,family,concert,Thawi Watthana,movie,12,Office
37,female,housewife,secondary,family,movie,Lat Phrao,movie,12,Office
47,male,business,other,family,travel,Bang Khun Thian,movie,12,Office
61,male,business,primary,family,travel,Bang Bon,movie,12,Office
36,female,business,secondary,family,family,Bang Bon,movie,12,Office
55,female,other,bachelor,family,travel,Lat Phrao,movie,12,Office
54,female,official,graduate,family,travel,Bang Sue,movie,12,Office
39,female,official,graduate,family,family,Min Buri,movie,12,Office
33,female,employee,secondary,family,rally,Khlong Sam Wa,movie,12,Office
49,female,business,primary,family,travel,Prawet,movie,12,Office
36,male,enterprise,bachelor,family,travel,Khan Na Yao,movie,12,Office
45,female,employee,bachelor,family,movie,Bang Na,movie,12,Office
55,female,housewife,secondary,family,family,Suan Luang,movie,12,Office
14,female,other,other,family,sport,Watthana,movie,12,Office
54,male,enterprise,secondary,family,travel,Chom Thong,movie,12,Office
6,female,student,secondary,family,family,Wang Thonglang,movie,12,Office
7,female,housewife,diploma,family,family,Phra Khanong,movie,12,Office
39,male,employee,bachelor,family,family,Dusit,movie,12,Office
41,male,business,secondary,family,movie,Wang Thonglang,movie,12,Office
18,male,student,secondary,family,movie,Wang Thonglang,movie,12,Office
11,male,housewife,bachelor,family,family,Phra Khanong,movie,12,Office
60,female,business,other,family,travel,Thawi Watthana,movie,12,Office
58,female,official,bachelor,family,movie,Chom Thong,movie,12,Office
54,female,business,bachelor,family,concert,Huai Khwang,movie,12,Office
68,female,housewife,bachelor,family,family,Din Daeng,journey,12,Phrae and Nan
35,female,business,bachelor,family,family,Sathon,journey,11,Phrae and Nan
49,male,business,diploma,family,family,Sathon,journey,11,Phrae and Nan
30,female,enterprise,graduate,family,travel,Bang Sue,journey,12,Phrae and Nan
46,female,business,secondary,family,travel,Lat Krabang,journey,12,Phrae and Nan
61,male,business,primary,family,travel,Ratchathewi,journey,11,Phrae and Nan
36,female,employee,bachelor,family,concert,Khlong San,journey,12,Phrae and Nan
48,female,business,diploma,family,family,Thon Buri,journey,12,Phrae and Nan
48,female,business,diploma,family,family,Thon Buri,journey,12,Phrae and Nan
49,female,business,bachelor,family,travel,Lat Phrao,journey,12,Phrae and Nan
52,female,business,bachelor,family,concert,Pathum Wan,journey,11,Phrae and Nan
46,female,business,secondary,family,concert,Chom Thong,nature,5,Khao Yai
58,female,housewife,secondary,family,travel,Yan Nawa,nature,5,Khao Yai
40,female,employee,bachelor,family,travel,Chatuchak,nature,4,Khao Yai
49,female,business,diploma,family,travel,Phra Nakhon,nature,5,Khao Yai
15,female,student,secondary,family,travel,Lat Krabang,nature,5,Khao Yai
46,female,business,secondary,family,concert,Chom Thong,nature,5,Khao Yai
61,male,business,primary,family,travel,Ratchathewi,nature,6,Khao Yai
33,female,enterprise,graduate,family,family,Ratchathewi,nature,6,Khao Yai
50,female,business,other,family,travel,Pom Prap Sattru Phai,nature,5,Khao Yai
52,female,employee,bachelor,family,travel,Bang Khae,nature,5,Khao Yai
58,female,housewife,bachelor,family,travel,Bang Phlat,nature,5,Khao Yai
53,female,business,secondary,family,travel,Phra Khanong,nature,6,Khao Yai
53,female,business,bachelor,family,travel,Bang Rak,nature,5,Khao Yai
40,male,other,bachelor,family,other,Bang Rak,nature,5,Khao Yai
46,female,housewife,bachelor,family,rally,Lat Krabang,nature,5,Khao Yai
62,female,business,bachelor,family,travel,Pom Prap Sattru Phai,nature,5,Khao Yai
57,male,business,bachelor,family,family,Watthana,nature,5,Khao Yai
60,female,official,bachelor,family,travel,Lat Krabang,nature,5,Khao Yai
51,female,employee,bachelor,family,family,Lat Phrao,culture,2,Navy Hall
47,female,business,diploma,family,travel,Thon Buri,culture,2,Navy Hall
50,male,employee,other,family,family,Lat Phrao,culture,2,Navy Hall
53,female,business,secondary,family,travel,Phra Khanong,culture,3,Navy Hall
18,female,student,other,family,celebrity,Thon Buri,culture,2,Navy Hall
52,female,business,secondary,family,travel,Khlong Toei,culture,2,Navy Hall
52,female,business,bachelor,family,travel,Bang Khun Thian,culture,3,Navy Hall
46,female,business,bachelor,family,travel,Chatuchak,culture,3,Navy Hall
38,male,business,bachelor,family,family,Ratchathewi,culture,2,Navy Hall
57,male,business,bachelor,family,family,Watthana,culture,1,Navy Hall
45,female,employee,bachelor,family,movie,Bang Na,culture,2,Navy Hall
54,female,business,bachelor,family,travel,Pom Prap Sattru Phai,culture,2,Navy Hall
81,male,retire,secondary,family,travel,Rat Burana,culture,7,Ayutthaya
39,female,freelance,bachelor,family,family,Chom Thong,culture,7,Ayutthaya
49,female,employee,bachelor,family,travel,Phra Khanong,culture,7,Ayutthaya
54,female,housewife,bachelor,family,travel,Bang Khun Thian,culture,7,Ayutthaya
56,female,official,bachelor,family,travel,Bang Na,culture,7,Ayutthaya
63,female,business,bachelor,family,family,Bang Phlat,culture,7,Ayutthaya
43,female,freelance,bachelor,family,travel,Phaya Thai,culture,7,Ayutthaya
58,female,freelance,bachelor,family,travel,Phaya Thai,culture,7,Ayutthaya
43,female,enterprise,bachelor,family,travel,Bang Phlat,culture,7,Ayutthaya
46,female,business,secondary,family,concert,Chom Thong,culture,7,Ayutthaya
61,female,housewife,diploma,family,family,Chatuchak,culture,6,Ayutthaya
57,male,business,bachelor,family,movie,Bang Kho Laem,culture,7,Ayutthaya
46,female,other,other,family,family,Bang Kapi,culture,7,Ayutthaya
61,female,business,secondary,family,travel,Huai Khwang,culture,7,Ayutthaya
48,female,business,other,family,concert,Thon Buri,culture,7,Ayutthaya
56,female,business,bachelor,family,family,Ratchathewi,culture,7,Ayutthaya
50,female,business,other,family,travel,Pom Prap Sattru Phai,culture,7,Ayutthaya
56,female,employee,bachelor,family,travel,Huai Khwang,culture,7,Ayutthaya
15,male,student,primary,family,travel,Bang Kho Laem,culture,7,Ayutthaya
57,male,official,graduate,family,travel,Suan Luang,culture,7,Ayutthaya
60,female,business,diploma,family,movie,Samphanthawong,culture,7,Ayutthaya
32,female,employee,graduate,family,concert,Suan Luang,culture,7,Ayutthaya
52,female,business,secondary,family,travel,Khlong Toei,culture,7,Ayutthaya
51,male,business,secondary,family,travel,Thung Khru,culture,7,Ayutthaya
59,male,other,graduate,family,travel,Bang Sue,culture,7,Ayutthaya
44,male,business,graduate,family,travel,Chatuchak,culture,7,Ayutthaya
51,female,business,bachelor,family,family,Sathon,culture,6,Ayutthaya
46,female,other,bachelor,family,travel,Huai Khwang,culture,7,Ayutthaya
60,male,housewife,secondary,family,travel,Bang Khun Thian,culture,7,Ayutthaya
57,female,official,bachelor,family,travel,Bang Khae,culture,7,Ayutthaya
61,female,business,bachelor,family,family,Suan Luang,culture,7,Ayutthaya
42,female,business,bachelor,family,travel,Phra Nakhon,culture,7,Ayutthaya
64,female,retire,bachelor,family,concert,Bang Na,culture,7,Ayutthaya
47,female,business,other,family,family,Bang Kho Laem,culture,7,Ayutthaya
39,female,freelance,bachelor,family,family,Chom Thong,culture,7,Ayutthaya
46,female,business,secondary,family,concert,Chom Thong,culture,7,Ayutthaya
51,male,business,secondary,family,travel,Thung Khru,culture,7,Ayutthaya
57,female,official,bachelor,family,travel,Bang Khae,culture,7,Ayutthaya
61,female,business,bachelor,family,family,Suan Luang,culture,7,Ayutthaya
64,female,freelance,other,family,travel,Bueng Kum,stageplay,10,Rachadalai Theatre
60,male,business,bachelor,family,travel,Nong Khaem,stageplay,9,Rachadalai Theatre
44,male,business,bachelor,family,travel,Bang Bon,stageplay,10,Rachadalai Theatre
44,male,business,bachelor,family,travel,Bang Bon,stageplay,9,Rachadalai Theatre
54,female,employee,bachelor,family,travel,Prawet,stageplay,9,Rachadalai Theatre
60,female,business,bachelor,family,movie,Din Daeng,stageplay,9,Rachadalai Theatre
34,female,business,bachelor,family,travel,Bangkok Noi,stageplay,9,Rachadalai Theatre
43,female,business,bachelor,family,family,Thung Khru,stageplay,9,Rachadalai Theatre
9,male,student,kindergarten,family,concert,Dusit,stageplay,9,Rachadalai Theatre
58,female,employee,other,family,concert,Yan Nawa,stageplay,9,Rachadalai Theatre
50,female,other,secondary,family,travel,Bang Rak,stageplay,11,Rachadalai Theatre
44,male,business,bachelor,family,travel,Bang Khae,stageplay,9,Rachadalai Theatre
43,female,employee,bachelor,family,family,Bueng Kum,stageplay,9,Rachadalai Theatre
27,female,business,bachelor,family,concert,Bang Phlat,stageplay,9,Rachadalai Theatre
51,female,business,bachelor,family,travel,Watthana,stageplay,9,Rachadalai Theatre
40,female,employee,bachelor,family,family,Thawi Watthana,stageplay,9,Rachadalai Theatre
58,female,employee,diploma,family,travel,Sathon,stageplay,9,Rachadalai Theatre
145,male,business,graduate,family,family,Pom Prap Sattru Phai,stageplay,10,Rachadalai Theatre
47,female,employee,graduate,family,travel,Bangkok Yai,stageplay,9,Rachadalai Theatre
55,male,business,bachelor,family,travel,Watthana,stageplay,9,Rachadalai Theatre
45,female,business,secondary,family,movie,Pom Prap Sattru Phai,stageplay,9,Rachadalai Theatre
21,male,student,bachelor,family,travel,Pom Prap Sattru Phai,stageplay,10,Rachadalai Theatre
10,male,student,primary,family,concert,Dusit,stageplay,9,Rachadalai Theatre
45,male,business,bachelor,family,family,Chatuchak,stageplay,9,Rachadalai Theatre
-64,female,employee,bachelor,family,family,Khlong Sam Wa,stageplay,9,Rachadalai Theatre
6,male,student,other,family,family,Lat Phrao,stageplay,9,Rachadalai Theatre
43,female,employee,bachelor,family,family,Khlong Toei,stageplay,9,Rachadalai Theatre
32,male,business,bachelor,family,celebrity,Bang Kapi,stageplay,9,Rachadalai Theatre
46,male,business,secondary,family,family,Bang Khae,stageplay,9,Rachadalai Theatre
52,male,employee,graduate,family,family,Bang Kapi,stageplay,9,Rachadalai Theatre
56,female,housewife,diploma,family,travel,Bang Khae,stageplay,9,Rachadalai Theatre
43,female,official,graduate,family,concert,Bang Kapi,stageplay,9,Rachadalai Theatre
13,female,other,primary,family,concert,Phaya Thai,stageplay,9,Rachadalai Theatre
56,female,official,graduate,family,movie,Bueng Kum,stageplay,9,Rachadalai Theatre
42,female,business,bachelor,family,travel,Khlong San,stageplay,10,Rachadalai Theatre
48,female,business,bachelor,family,travel,Bang Khae,stageplay,9,Rachadalai Theatre
62,female,business,primary,family,concert,Bangkok Yai,stageplay,9,Rachadalai Theatre
55,female,business,bachelor,family,other,Pom Prap Sattru Phai,stageplay,9,Rachadalai Theatre
26,male,unemployed,bachelor,family,concert,Min Buri,stageplay,9,Rachadalai Theatre
37,female,business,bachelor,family,family,Phra Khanong,stageplay,9,Rachadalai Theatre
31,female,business,bachelor,family,movie,Phaya Thai,stageplay,9,Rachadalai Theatre
36,female,employee,bachelor,family,family,Lak Si,stageplay,10,Rachadalai Theatre
47,female,business,bachelor,family,family,Khan Na Yao,stageplay,9,Rachadalai Theatre
48,female,employee,bachelor,family,travel,Huai Khwang,stageplay,9,Rachadalai Theatre
45,male,business,bachelor,family,travel,Khlong Sam Wa,stageplay,9,Rachadalai Theatre
40,female,employee,bachelor,family,family,Sai Mai,stageplay,9,Rachadalai Theatre
37,female,employee,bachelor,family,travel,Pom Prap Sattru Phai,stageplay,9,Rachadalai Theatre
55,male,business,secondary,family,family,Nong Khaem,stageplay,9,Rachadalai Theatre
35,male,official,diploma,family,movie,Bang Khae,stageplay,9,Rachadalai Theatre
50,female,business,other,family,travel,Pom Prap Sattru Phai,stageplay,9,Rachadalai Theatre
39,female,business,graduate,family,travel,Pom Prap Sattru Phai,stageplay,9,Rachadalai Theatre
45,female,employee,bachelor,family,sport,Bueng Kum,stageplay,10,Rachadalai Theatre
34,female,employee,bachelor,family,family,Suan Luang,stageplay,9,Rachadalai Theatre
23,male,other,bachelor,family,family,Bueng Kum,stageplay,9,Rachadalai Theatre
54,male,business,bachelor,family,travel,Chom Thong,stageplay,9,Rachadalai Theatre
55,male,freelance,graduate,family,travel,Lat Phrao,stageplay,9,Rachadalai Theatre
37,male,employee,other,family,travel,Taling Chan,stageplay,9,Rachadalai Theatre
54,female,business,bachelor,family,concert,Nong Khaem,stageplay,9,Rachadalai Theatre
43,female,employee,bachelor,family,movie,Khlong San,stageplay,9,Rachadalai Theatre
42,female,official,bachelor,family,family,Sai Mai,stageplay,9,Rachadalai Theatre
44,male,business,secondary,family,travel,Khlong Toei,stageplay,10,Rachadalai Theatre
42,female,employee,other,family,travel,Lat Phrao,stageplay,9,Rachadalai Theatre
47,male,business,bachelor,family,travel,Thung Khru,stageplay,9,Rachadalai Theatre
50,female,business,bachelor,family,travel,Bang Kapi,stageplay,9,Rachadalai Theatre
46,female,employee,bachelor,family,concert,Wang Thonglang,stageplay,9,Rachadalai Theatre
31,male,business,bachelor,family,concert,Bang Kho Laem,stageplay,9,Rachadalai Theatre
47,female,other,bachelor,family,travel,Bueng Kum,stageplay,9,Rachadalai Theatre
55,male,other,primary,family,travel,Rat Burana,stageplay,9,Rachadalai Theatre
49,female,employee,secondary,family,family,Huai Khwang,stageplay,9,Rachadalai Theatre
55,male,business,bachelor,family,concert,Taling Chan,stageplay,9,Rachadalai Theatre
54,male,business,secondary,family,family,Bang Bon,stageplay,9,Rachadalai Theatre
49,female,other,graduate,family,family,Chatuchak,stageplay,9,Rachadalai Theatre
55,female,enterprise,bachelor,family,travel,Bang Khen,stageplay,9,Rachadalai Theatre
21,female,student,bachelor,family,movie,Taling Chan,stageplay,10,Rachadalai Theatre
69,female,enterprise,bachelor,family,travel,Taling Chan,stageplay,9,Rachadalai Theatre
27,male,business,bachelor,family,sport,Nong Khaem,stageplay,9,Rachadalai Theatre
38,female,enterprise,bachelor,family,travel,Bueng Kum,stageplay,9,Rachadalai Theatre
47,female,other,graduate,family,travel,Bang Khen,stageplay,9,Rachadalai Theatre
43,female,business,diploma,family,concert,Taling Chan,stageplay,9,Rachadalai Theatre
39,male,employee,graduate,family,concert,Din Daeng,stageplay,9,Rachadalai Theatre
29,female,employee,bachelor,family,travel,Bueng Kum,stageplay,9,Rachadalai Theatre
59,female,business,diploma,family,family,Wang Thonglang,stageplay,9,Rachadalai Theatre
46,female,housewife,bachelor,family,concert,Yan Nawa,stageplay,9,Rachadalai Theatre
18,female,student,other,family,celebrity,Thon Buri,stageplay,9,Rachadalai Theatre
43,female,business,bachelor,family,rally,Bang Kapi,stageplay,9,Rachadalai Theatre
54,male,employee,bachelor,family,travel,Watthana,stageplay,9,Rachadalai Theatre
53,female,other,secondary,family,other,Khlong Toei,stageplay,9,Rachadalai Theatre
54,male,business,graduate,family,concert,Chatuchak,stageplay,9,Rachadalai Theatre
59,female,official,bachelor,family,concert,Lak Si,stageplay,9,Rachadalai Theatre
42,female,retire,bachelor,family,travel,Bangkok Noi,stageplay,9,Rachadalai Theatre
29,female,business,graduate,family,travel,Yan Nawa,stageplay,10,Rachadalai Theatre
51,male,official,graduate,family,family,Bangkok Noi,stageplay,9,Rachadalai Theatre
34,male,business,bachelor,family,concert,Chom Thong,stageplay,9,Rachadalai Theatre
34,male,business,bachelor,family,concert,Chom Thong,stageplay,9,Rachadalai Theatre
52,female,business,secondary,family,travel,Bang Na,stageplay,10,Rachadalai Theatre
37,male,employee,graduate,family,movie,Samphanthawong,stageplay,9,Rachadalai Theatre
45,female,business,bachelor,family,travel,Saphan Sung,stageplay,9,Rachadalai Theatre
45,female,business,bachelor,family,travel,Saphan Sung,stageplay,11,Rachadalai Theatre
35,female,business,bachelor,family,concert,Chom Thong,stageplay,9,Rachadalai Theatre
47,male,business,bachelor,family,travel,Thawi Watthana,stageplay,9,Rachadalai Theatre
61,female,business,bachelor,family,other,Watthana,stageplay,9,Rachadalai Theatre
37,female,other,graduate,family,travel,Phra Nakhon,stageplay,10,Rachadalai Theatre
19,female,student,secondary,family,concert,Watthana,stageplay,10,Rachadalai Theatre
54,female,business,graduate,family,family,Bang Khen,stageplay,10,Rachadalai Theatre
41,female,employee,bachelor,family,concert,Sai Mai,stageplay,9,Rachadalai Theatre
51,male,business,bachelor,family,concert,Wang Thonglang,stageplay,11,Rachadalai Theatre
49,female,business,secondary,family,family,Chatuchak,stageplay,9,Rachadalai Theatre
34,female,other,bachelor,family,travel,Sai Mai,stageplay,10,Rachadalai Theatre
53,female,employee,diploma,family,travel,Lat Phrao,stageplay,9,Rachadalai Theatre
38,female,business,bachelor,family,concert,Sai Mai,stageplay,9,Rachadalai Theatre
22,male,student,bachelor,family,movie,Samphanthawong,stageplay,9,Rachadalai Theatre
43,male,employee,graduate,family,family,Bang Kapi,stageplay,9,Rachadalai Theatre
45,female,freelance,secondary,family,family,Saphan Sung,stageplay,9,Rachadalai Theatre
40,female,employee,bachelor,family,concert,Saphan Sung,stageplay,9,Rachadalai Theatre
35,female,employee,graduate,family,movie,Bang Na,stageplay,10,Rachadalai Theatre
34,female,employee,bachelor,family,concert,Chatuchak,stageplay,9,Rachadalai Theatre
55,male,business,bachelor,family,travel,Bueng Kum,stageplay,9,Rachadalai Theatre
27,female,employee,bachelor,family,movie,Samphanthawong,stageplay,10,Rachadalai Theatre
75,female,business,bachelor,family,travel,Bangkok Yai,stageplay,9,Rachadalai Theatre
24,female,student,secondary,family,travel,Suan Luang,stageplay,9,Rachadalai Theatre
63,female,business,primary,family,travel,Wang Thonglang,stageplay,9,Rachadalai Theatre
24,female,student,bachelor,family,family,Saphan Sung,stageplay,9,Rachadalai Theatre
51,female,official,graduate,family,movie,Bangkok Noi,stageplay,9,Rachadalai Theatre
47,female,employee,graduate,family,movie,Bang Kapi,stageplay,9,Rachadalai Theatre
39,male,employee,graduate,family,movie,Sai Mai,stageplay,9,Rachadalai Theatre
35,female,business,bachelor,family,concert,Bang Phlat,stageplay,9,Rachadalai Theatre
52,male,employee,graduate,family,movie,Bueng Kum,stageplay,9,Rachadalai Theatre
42,female,business,bachelor,family,travel,Chatuchak,stageplay,9,Rachadalai Theatre
57,male,business,graduate,family,travel,Lak Si,stageplay,9,Rachadalai Theatre
